"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 13:17:46 GMT 2023","Thu Apr 27 13:17:49 GMT 2023","2369","","org.example.pages.RegisterPageTest","","org.example.pages.RegisterPageTest","testRegister","Register a new user to the website","Register a new user to the website"
"passed","Thu Apr 27 13:17:26 GMT 2023","Thu Apr 27 13:17:44 GMT 2023","18465","","org.example.pages.BlogPageTest","","org.example.pages.BlogPageTest","testBlogArticlesTitle","Blog article's titles comparing with a file.","Blog article's titles comparing with a file."
"failed","Thu Apr 27 13:18:11 GMT 2023","Thu Apr 27 13:18:12 GMT 2023","1306","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","TestNotAcceptTermsAndConditions","Not accepting terms and conditions","Not accepting terms and conditions"
"passed","Thu Apr 27 13:17:44 GMT 2023","Thu Apr 27 13:17:46 GMT 2023","2037","","org.example.pages.LogoutPageTest","","org.example.pages.LogoutPageTest","testLogout","Logout by clicking 'Logout' button","Logout by clicking 'Logout' button"
"passed","Thu Apr 27 13:18:12 GMT 2023","Thu Apr 27 13:18:13 GMT 2023","1272","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","testAcceptTermsAndConditions","Accepting terms and conditions","Accepting terms and conditions"
"failed","Thu Apr 27 13:17:49 GMT 2023","Thu Apr 27 13:17:51 GMT 2023","2679","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWhithValid","Sending a message with filling all fields with valid data.","Sending a message with filling all fields with valid data."
"passed","Thu Apr 27 13:17:09 GMT 2023","Thu Apr 27 13:17:20 GMT 2023","11542","","org.example.pages.ResumePageTest","","org.example.pages.ResumePageTest","testResumeExperiences","Checking resume page experiences","Checking resume page experiences"
"passed","Thu Apr 27 13:18:07 GMT 2023","Thu Apr 27 13:18:11 GMT 2023","3584","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginMultipleUsers","Login with multiple valid username and passwords repeatedly from file.","Login with multiple valid username and passwords repeatedly from file."
"passed","Thu Apr 27 13:18:13 GMT 2023","Thu Apr 27 13:18:15 GMT 2023","1368","","org.example.pages.AboutPageTest","","org.example.pages.AboutPageTest","testAboutTextToFile","Checking About page's content.","Checking About page's content and write it to a file."
"passed","Thu Apr 27 13:17:23 GMT 2023","Thu Apr 27 13:17:26 GMT 2023","2555","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testDeleteAccount","Delete profile","Delete profile"
"passed","Thu Apr 27 13:17:20 GMT 2023","Thu Apr 27 13:17:23 GMT 2023","2722","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testProfileModification","Profile modification","Profile modification"
"passed","Thu Apr 27 13:17:56 GMT 2023","Thu Apr 27 13:18:07 GMT 2023","11520","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginWithInvalidDatas","Login with invalid username and password","Login with invalid username and password"
"passed","Thu Apr 27 13:17:54 GMT 2023","Thu Apr 27 13:17:56 GMT 2023","1806","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLogin","Login with valid username and password","Login with valid username and password"
"passed","Thu Apr 27 13:17:51 GMT 2023","Thu Apr 27 13:17:54 GMT 2023","2508","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWithEmptyFields","Sending a message without filling all input fields","Sending a message without filling all input fields"
