"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 06:53:34 GMT 2023","Tue Apr 18 06:53:36 GMT 2023","1663","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContact","Sending a message with filling all fields with valid data.","Sending a message with filling all fields with valid data."
"passed","Tue Apr 18 06:53:43 GMT 2023","Tue Apr 18 06:53:45 GMT 2023","1798","","org.example.pages.LogoutPageTest","","org.example.pages.LogoutPageTest","testLogout","Logout by clicking 'Logout' button","Logout by clicking 'Logout' button"
"passed","Tue Apr 18 06:52:59 GMT 2023","Tue Apr 18 06:53:02 GMT 2023","3411","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLogin","Login with valid username and password","Login with valid username and password"
"passed","Tue Apr 18 06:53:14 GMT 2023","Tue Apr 18 06:53:16 GMT 2023","2901","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginMultipleUsers","Login with multiple valid username and passwords repeatedly from file.","Login with multiple valid username and passwords repeatedly from file."
"passed","Tue Apr 18 06:53:36 GMT 2023","Tue Apr 18 06:53:38 GMT 2023","2421","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testProfileModification","Profile modification","Profile modification"
"passed","Tue Apr 18 06:53:02 GMT 2023","Tue Apr 18 06:53:14 GMT 2023","11388","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginWithInvalidDatas","Login with invalid username and password","Login with invalid username and password"
"passed","Tue Apr 18 06:53:38 GMT 2023","Tue Apr 18 06:53:41 GMT 2023","2104","","org.example.pages.RegisterPageTest","","org.example.pages.RegisterPageTest","testRegister","Register a new user to the website","Register a new user to the website"
"passed","Tue Apr 18 06:53:16 GMT 2023","Tue Apr 18 06:53:34 GMT 2023","17821","","org.example.pages.BlogPageTest","","org.example.pages.BlogPageTest","testBlogArticlesTitle","Blog article's titles comparing with a file.","Blog article's titles comparing with a file."
"failed","Tue Apr 18 06:53:41 GMT 2023","Tue Apr 18 06:53:42 GMT 2023","1162","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","TestNotAcceptTermsAndConditions","Not accepting terms and conditions","Not accepting terms and conditions"
"passed","Tue Apr 18 06:53:42 GMT 2023","Tue Apr 18 06:53:43 GMT 2023","1155","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","testAcceptTermsAndConditions","Accepting terms and conditions","Accepting terms and conditions"
