"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 19:16:33 GMT 2023","Mon Apr 24 19:16:46 GMT 2023","13612","","org.example.pages.ResumePageTest","","org.example.pages.ResumePageTest","testResumeExperiences","Checking resume page experiences","Checking resume page experiences"
"failed","Mon Apr 24 19:17:15 GMT 2023","Mon Apr 24 19:17:17 GMT 2023","2244","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWhithValid","Sending a message with filling all fields with valid data.","Sending a message with filling all fields with valid data."
"passed","Mon Apr 24 19:17:27 GMT 2023","Mon Apr 24 19:17:28 GMT 2023","1696","","org.example.pages.LogoutPageTest","","org.example.pages.LogoutPageTest","testLogout","Logout by clicking 'Logout' button","Logout by clicking 'Logout' button"
"passed","Mon Apr 24 19:16:54 GMT 2023","Mon Apr 24 19:16:57 GMT 2023","3190","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginMultipleUsers","Login with multiple valid username and passwords repeatedly from file.","Login with multiple valid username and passwords repeatedly from file."
"passed","Mon Apr 24 19:17:23 GMT 2023","Mon Apr 24 19:17:24 GMT 2023","1070","","org.example.pages.AboutPageTest","","org.example.pages.AboutPageTest","testAboutTextToFile","testAboutTextToFile()",""
"passed","Mon Apr 24 19:17:19 GMT 2023","Mon Apr 24 19:17:21 GMT 2023","2235","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testProfileModification","Profile modification","Profile modification"
"passed","Mon Apr 24 19:16:57 GMT 2023","Mon Apr 24 19:17:15 GMT 2023","17969","","org.example.pages.BlogPageTest","","org.example.pages.BlogPageTest","testBlogArticlesTitle","Blog article's titles comparing with a file.","Blog article's titles comparing with a file."
"failed","Mon Apr 24 19:17:17 GMT 2023","Mon Apr 24 19:17:19 GMT 2023","2222","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWithEmptyFields","Sending a message without filling all input fields","Sending a message without filling all input fields"
"failed","Mon Apr 24 19:17:24 GMT 2023","Mon Apr 24 19:17:26 GMT 2023","1083","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","TestNotAcceptTermsAndConditions","Not accepting terms and conditions","Not accepting terms and conditions"
"passed","Mon Apr 24 19:16:42 GMT 2023","Mon Apr 24 19:16:54 GMT 2023","11519","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginWithInvalidDatas","Login with invalid username and password","Login with invalid username and password"
"passed","Mon Apr 24 19:17:21 GMT 2023","Mon Apr 24 19:17:23 GMT 2023","1921","","org.example.pages.RegisterPageTest","","org.example.pages.RegisterPageTest","testRegister","Register a new user to the website","Register a new user to the website"
"passed","Mon Apr 24 19:16:33 GMT 2023","Mon Apr 24 19:16:42 GMT 2023","8917","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLogin","Login with valid username and password","Login with valid username and password"
"passed","Mon Apr 24 19:17:26 GMT 2023","Mon Apr 24 19:17:27 GMT 2023","1137","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","testAcceptTermsAndConditions","Accepting terms and conditions","Accepting terms and conditions"
