"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 09:58:07 GMT 2023","Tue Apr 18 09:58:10 GMT 2023","3071","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginMultipleUsers","Login with multiple valid username and passwords repeatedly from file.","Login with multiple valid username and passwords repeatedly from file."
"passed","Tue Apr 18 09:58:37 GMT 2023","Tue Apr 18 09:58:38 GMT 2023","1184","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","testAcceptTermsAndConditions","Accepting terms and conditions","Accepting terms and conditions"
"passed","Tue Apr 18 09:58:10 GMT 2023","Tue Apr 18 09:58:28 GMT 2023","18326","","org.example.pages.BlogPageTest","","org.example.pages.BlogPageTest","testBlogArticlesTitle","Blog article's titles comparing with a file.","Blog article's titles comparing with a file."
"passed","Tue Apr 18 09:58:28 GMT 2023","Tue Apr 18 09:58:30 GMT 2023","2151","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContact","Sending a message with filling all fields with valid data.","Sending a message with filling all fields with valid data."
"passed","Tue Apr 18 09:57:35 GMT 2023","Tue Apr 18 09:57:55 GMT 2023","20130","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLogin","Login with valid username and password","Login with valid username and password"
"passed","Tue Apr 18 09:58:33 GMT 2023","Tue Apr 18 09:58:35 GMT 2023","2373","","org.example.pages.RegisterPageTest","","org.example.pages.RegisterPageTest","testRegister","Register a new user to the website","Register a new user to the website"
"passed","Tue Apr 18 09:57:55 GMT 2023","Tue Apr 18 09:58:07 GMT 2023","11338","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginWithInvalidDatas","Login with invalid username and password","Login with invalid username and password"
"failed","Tue Apr 18 09:58:35 GMT 2023","Tue Apr 18 09:58:37 GMT 2023","1170","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","TestNotAcceptTermsAndConditions","Not accepting terms and conditions","Not accepting terms and conditions"
"passed","Tue Apr 18 09:58:38 GMT 2023","Tue Apr 18 09:58:40 GMT 2023","1939","","org.example.pages.LogoutPageTest","","org.example.pages.LogoutPageTest","testLogout","Logout by clicking 'Logout' button","Logout by clicking 'Logout' button"
"passed","Tue Apr 18 09:58:30 GMT 2023","Tue Apr 18 09:58:33 GMT 2023","2586","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testProfileModification","Profile modification","Profile modification"
