"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 13:26:02 GMT 2023","Thu Apr 27 13:26:20 GMT 2023","18064","","org.example.pages.BlogPageTest","","org.example.pages.BlogPageTest","testBlogArticlesTitle","Blog article's titles comparing with a file.","Blog article's titles comparing with a file."
"passed","Thu Apr 27 13:26:26 GMT 2023","Thu Apr 27 13:26:28 GMT 2023","2223","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWithEmptyFields","Sending a message without filling all input fields","Sending a message without filling all input fields"
"passed","Thu Apr 27 13:26:20 GMT 2023","Thu Apr 27 13:26:22 GMT 2023","1921","","org.example.pages.LogoutPageTest","","org.example.pages.LogoutPageTest","testLogout","Logout by clicking 'Logout' button","Logout by clicking 'Logout' button"
"passed","Thu Apr 27 13:25:57 GMT 2023","Thu Apr 27 13:25:59 GMT 2023","2525","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testProfileModification","Profile modification","Profile modification"
"passed","Thu Apr 27 13:26:46 GMT 2023","Thu Apr 27 13:26:47 GMT 2023","1199","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","testAcceptTermsAndConditions","Accepting terms and conditions","Accepting terms and conditions"
"passed","Thu Apr 27 13:25:47 GMT 2023","Thu Apr 27 13:25:57 GMT 2023","10057","","org.example.pages.ResumePageTest","","org.example.pages.ResumePageTest","testResumeExperiences","Checking resume page experiences","Checking resume page experiences"
"passed","Thu Apr 27 13:26:30 GMT 2023","Thu Apr 27 13:26:41 GMT 2023","11374","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginWithInvalidDatas","Login with invalid username and password","Login with invalid username and password"
"passed","Thu Apr 27 13:26:28 GMT 2023","Thu Apr 27 13:26:30 GMT 2023","1590","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLogin","Login with valid username and password","Login with valid username and password"
"passed","Thu Apr 27 13:25:59 GMT 2023","Thu Apr 27 13:26:02 GMT 2023","2372","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testDeleteAccount","Delete profile","Delete profile"
"passed","Thu Apr 27 13:26:41 GMT 2023","Thu Apr 27 13:26:45 GMT 2023","3215","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginMultipleUsers","Login with multiple valid username and passwords repeatedly from file.","Login with multiple valid username and passwords repeatedly from file."
"failed","Thu Apr 27 13:26:24 GMT 2023","Thu Apr 27 13:26:26 GMT 2023","2233","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWhithValid","Sending a message with filling all fields with valid data.","Sending a message with filling all fields with valid data."
"failed","Thu Apr 27 13:26:45 GMT 2023","Thu Apr 27 13:26:46 GMT 2023","1203","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","TestNotAcceptTermsAndConditions","Not accepting terms and conditions","Not accepting terms and conditions"
"passed","Thu Apr 27 13:26:22 GMT 2023","Thu Apr 27 13:26:24 GMT 2023","2096","","org.example.pages.RegisterPageTest","","org.example.pages.RegisterPageTest","testRegister","Register a new user to the website","Register a new user to the website"
"passed","Thu Apr 27 13:26:47 GMT 2023","Thu Apr 27 13:26:48 GMT 2023","1265","","org.example.pages.AboutPageTest","","org.example.pages.AboutPageTest","testAboutTextToFile","Checking About page's content.","Checking About page's content and write it to a file."
