"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 11:33:12 GMT 2023","Sat Apr 22 11:33:15 GMT 2023","3027","","org.example.pages.LogoutPageTest","","org.example.pages.LogoutPageTest","testLogout","Logout by clicking 'Logout' button","Logout by clicking 'Logout' button"
"failed","Sat Apr 22 11:33:17 GMT 2023","Sat Apr 22 11:33:19 GMT 2023","1381","","org.example.pages.ResumePageTest","","org.example.pages.ResumePageTest","testResumeExperiences","Checking resume page experiences","Checking resume page experiences"
"failed","Sat Apr 22 11:33:15 GMT 2023","Sat Apr 22 11:33:17 GMT 2023","2129","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWithEmptyFields","Sending a message without filling all input fields","Sending a message without filling all input fields"
"passed","Sat Apr 22 11:33:08 GMT 2023","Sat Apr 22 11:33:12 GMT 2023","3796","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginMultipleUsers","Login with multiple valid username and passwords repeatedly from file.","Login with multiple valid username and passwords repeatedly from file."
"passed","Sat Apr 22 11:32:42 GMT 2023","Sat Apr 22 11:33:11 GMT 2023","29195","","org.example.pages.BlogPageTest","","org.example.pages.BlogPageTest","testBlogArticlesTitle","Blog article's titles comparing with a file.","Blog article's titles comparing with a file."
"passed","Sat Apr 22 11:32:56 GMT 2023","Sat Apr 22 11:33:08 GMT 2023","11976","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginWithInvalidDatas","Login with invalid username and password","Login with invalid username and password"
"passed","Sat Apr 22 11:33:22 GMT 2023","Sat Apr 22 11:33:23 GMT 2023","997","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","testAcceptTermsAndConditions","Accepting terms and conditions","Accepting terms and conditions"
"passed","Sat Apr 22 11:33:19 GMT 2023","Sat Apr 22 11:33:21 GMT 2023","1856","","org.example.pages.RegisterPageTest","","org.example.pages.RegisterPageTest","testRegister","Register a new user to the website","Register a new user to the website"
"failed","Sat Apr 22 11:33:12 GMT 2023","Sat Apr 22 11:33:15 GMT 2023","3262","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWhithValid","Sending a message with filling all fields with valid data.","Sending a message with filling all fields with valid data."
"passed","Sat Apr 22 11:32:42 GMT 2023","Sat Apr 22 11:32:57 GMT 2023","15108","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testProfileModification","Profile modification","Profile modification"
"failed","Sat Apr 22 11:33:21 GMT 2023","Sat Apr 22 11:33:22 GMT 2023","1013","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","TestNotAcceptTermsAndConditions","Not accepting terms and conditions","Not accepting terms and conditions"
"passed","Sat Apr 22 11:32:42 GMT 2023","Sat Apr 22 11:32:56 GMT 2023","13381","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLogin","Login with valid username and password","Login with valid username and password"
