"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 19:29:05 GMT 2023","Mon Apr 24 19:29:24 GMT 2023","18659","","org.example.pages.BlogPageTest","","org.example.pages.BlogPageTest","testBlogArticlesTitle","Blog article's titles comparing with a file.","Blog article's titles comparing with a file."
"passed","Mon Apr 24 19:28:50 GMT 2023","Mon Apr 24 19:29:01 GMT 2023","11575","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginWithInvalidDatas","Login with invalid username and password","Login with invalid username and password"
"passed","Mon Apr 24 19:29:01 GMT 2023","Mon Apr 24 19:29:05 GMT 2023","3666","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginMultipleUsers","Login with multiple valid username and passwords repeatedly from file.","Login with multiple valid username and passwords repeatedly from file."
"passed","Mon Apr 24 19:29:27 GMT 2023","Mon Apr 24 19:29:29 GMT 2023","2563","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWithEmptyFields","Sending a message without filling all input fields","Sending a message without filling all input fields"
"failed","Mon Apr 24 19:29:43 GMT 2023","Mon Apr 24 19:29:44 GMT 2023","1196","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","TestNotAcceptTermsAndConditions","Not accepting terms and conditions","Not accepting terms and conditions"
"passed","Mon Apr 24 19:29:29 GMT 2023","Mon Apr 24 19:29:32 GMT 2023","2753","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testProfileModification","Profile modification","Profile modification"
"failed","Mon Apr 24 19:29:24 GMT 2023","Mon Apr 24 19:29:27 GMT 2023","3283","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWhithValid","Sending a message with filling all fields with valid data.","Sending a message with filling all fields with valid data."
"passed","Mon Apr 24 19:29:41 GMT 2023","Mon Apr 24 19:29:43 GMT 2023","1334","","org.example.pages.AboutPageTest","","org.example.pages.AboutPageTest","testAboutTextToFile","testAboutTextToFile()",""
"passed","Mon Apr 24 19:29:39 GMT 2023","Mon Apr 24 19:29:41 GMT 2023","2220","","org.example.pages.RegisterPageTest","","org.example.pages.RegisterPageTest","testRegister","Register a new user to the website","Register a new user to the website"
"passed","Mon Apr 24 19:28:43 GMT 2023","Mon Apr 24 19:28:49 GMT 2023","6768","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLogin","Login with valid username and password","Login with valid username and password"
"passed","Mon Apr 24 19:29:45 GMT 2023","Mon Apr 24 19:29:47 GMT 2023","2025","","org.example.pages.LogoutPageTest","","org.example.pages.LogoutPageTest","testLogout","Logout by clicking 'Logout' button","Logout by clicking 'Logout' button"
"passed","Mon Apr 24 19:29:44 GMT 2023","Mon Apr 24 19:29:45 GMT 2023","1158","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","testAcceptTermsAndConditions","Accepting terms and conditions","Accepting terms and conditions"
"passed","Mon Apr 24 19:29:32 GMT 2023","Mon Apr 24 19:29:39 GMT 2023","6750","","org.example.pages.ResumePageTest","","org.example.pages.ResumePageTest","testResumeExperiences","Checking resume page experiences","Checking resume page experiences"
