"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 30 08:52:16 GMT 2023","Sun Apr 30 08:52:18 GMT 2023","2130","","org.example.pages.RegisterPageTest","","org.example.pages.RegisterPageTest","testRegister","Register a new user to the website","Register a new user to the website"
"passed","Sun Apr 30 08:52:13 GMT 2023","Sun Apr 30 08:52:16 GMT 2023","2026","","org.example.pages.LogoutPageTest","","org.example.pages.LogoutPageTest","testLogout","Logout by clicking 'Logout' button","Logout by clicking 'Logout' button"
"passed","Sun Apr 30 08:51:53 GMT 2023","Sun Apr 30 08:51:55 GMT 2023","2405","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testDeleteAccount","Delete profile","Delete profile"
"failed","Sun Apr 30 08:52:38 GMT 2023","Sun Apr 30 08:52:39 GMT 2023","1268","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","TestNotAcceptTermsAndConditions","Not accepting terms and conditions","Not accepting terms and conditions"
"passed","Sun Apr 30 08:52:39 GMT 2023","Sun Apr 30 08:52:41 GMT 2023","1190","","org.example.pages.LandingPageTest","","org.example.pages.LandingPageTest","testAcceptTermsAndConditions","Accepting terms and conditions","Accepting terms and conditions"
"passed","Sun Apr 30 08:52:24 GMT 2023","Sun Apr 30 08:52:35 GMT 2023","11362","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginWithInvalidDatas","Login with invalid username and password","Login with invalid username and password"
"passed","Sun Apr 30 08:52:35 GMT 2023","Sun Apr 30 08:52:38 GMT 2023","3058","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLoginMultipleUsers","Login with multiple valid username and passwords repeatedly from file.","Login with multiple valid username and passwords repeatedly from file."
"passed","Sun Apr 30 08:51:50 GMT 2023","Sun Apr 30 08:51:53 GMT 2023","2541","","org.example.pages.ProfileModificationTest","","org.example.pages.ProfileModificationTest","testProfileModification","Profile modification","Profile modification"
"failed","Sun Apr 30 08:52:18 GMT 2023","Sun Apr 30 08:52:20 GMT 2023","2226","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWhithValid","Sending a message with filling all fields with valid data.","Sending a message with filling all fields with valid data."
"passed","Sun Apr 30 08:52:22 GMT 2023","Sun Apr 30 08:52:24 GMT 2023","1633","","org.example.pages.LoginPageTest","","org.example.pages.LoginPageTest","testLogin","Login with valid username and password","Login with valid username and password"
"passed","Sun Apr 30 08:52:41 GMT 2023","Sun Apr 30 08:52:42 GMT 2023","1271","","org.example.pages.AboutPageTest","","org.example.pages.AboutPageTest","testAboutTextToFile","Checking About page's content.","Checking About page's content and write it to a file."
"passed","Sun Apr 30 08:51:40 GMT 2023","Sun Apr 30 08:51:50 GMT 2023","10254","","org.example.pages.ResumePageTest","","org.example.pages.ResumePageTest","testResumeExperiences","Checking resume page experiences","Checking resume page experiences"
"passed","Sun Apr 30 08:52:20 GMT 2023","Sun Apr 30 08:52:22 GMT 2023","2183","","org.example.pages.ContactPageTest","","org.example.pages.ContactPageTest","testContactWithEmptyFields","Sending a message without filling all input fields","Sending a message without filling all input fields"
"passed","Sun Apr 30 08:51:55 GMT 2023","Sun Apr 30 08:52:13 GMT 2023","18279","","org.example.pages.BlogPageTest","","org.example.pages.BlogPageTest","testBlogArticlesTitle","Blog article's titles comparing with a file.","Blog article's titles comparing with a file."
